Terra House,115 Middleton St,,Nashville,TN,37210,0 - 2,1 - 2,588 - 1,347,$1,612,$2,885,$385,000,(844) 627-9668
Terra House,115 Middleton St,,Nashville,TN,37210,0 - 2,1 - 2,588 - 1,347,$1,612,$2,885,$385,000,(844) 627-9668
