The Meurice,145 W 58th St,,New York,NY,10019,0 - 2,1 - 2,Pets,$3,100,$5,450,
Tower 28,42-12 28th St,,Long Island City,NY,11101,0 - 3,1 - 2,428 - 1,305,$2,466,$3,865,
Quintess Apartments,465 Ocean Ave,,Brooklyn,NY,11226,0 - 5,1 - 2,450 - 800,$1,559,$3,700,
666 WEST END AVENUE,666 W End Ave,,New York,NY,10025,0 - 4,1 - 4,259 - 1,936,$1,875,$13,250,
363 Sixth St,363 6th St,,San Francisco,CA,94103,0 - 3,1 - 2,390 - 920,$1,745,$3,645,$1,395,000,(831) 226-1154
Crest Royal Apartments,1310 Jones St,,San Francisco,CA,94109,1 - 2,1 - 2,680 - 1,060,$3,300,$4,000,$1,395,000,(628) 207-1319
Jasper,45 Lansing St,,San Francisco,CA,94105,0 - 3,1 - 2,506 - 1,578,$2,943,$7,443,$1,395,000,(844) 843-1362
The Gateway,460 Davis Ct,,San Francisco,CA,94111,0 - 4,1 - 2,469 - 1,761,$2,059,$7,797,$1,395,000,(844) 713-3581
Crest Royal Apartments,1310 Jones St,,San Francisco,CA,94109,1 - 2,1 - 2,680 - 1,060,$3,300,$4,000,$1,395,000,(628) 207-1319
Continuum,219 Western Ave,,Allston,MA,02134,0 - 3,1 - 2,400 - 1,327,$4,757,$4,829,$622,000,(844) 828-3587
The Eddy,10 New St,,East Boston,MA,02128,0 - 2,1 - 2,384 - 925,$1,900,$3,250,$672,000,(617) 934-8788
One305 Central,1305 Central Ave,,Charlotte,NC,28205,0 - 2,1 - 2,500 - 1,178,$1,256,$1,934,$355,000,(980) 222-3556
Ayrsley Lofts,9336 Kings Parade Blvd,,Charlotte,NC,28273,0 - 2,1 - 2,500 - 1,232,$1,160,$1,370,$355,000,(980) 474-4762
SkyHouse® Uptown,640 N Church St,,Charlotte,NC,28202,0 - 3,1 - 3,546 - 1,510,$1,126,$2,502,$355,000,(844) 302-0145
Fort Hamilton Family Homes,222 Washington Rd,,Brooklyn,NY,11209,3 - 4,1 - 3,1,054 - 1,936,$3,333,$4,965,$949,000,(844) 673-9073
